table,column,ks_stat,ks_p_value,similarity,n_real,n_synthetic,mean_real,mean_synth,std_real,std_synth
patients,daly,0.5002,0.0,0.4998,998,1000,1.9669,3.9706,5.2566,6.9095
patients,qaly,0.2958,0.0,0.7042,998,1000,40.2646,59.1902,21.9726,25.4798
patients,age,0.3281,0.0,0.6719,998,1000,46.7551,25.8035,25.1213,21.1317
patients,age_at_death,0.5385,0.0,0.4615,130,123,53.5877,51.0772,23.6552,9.668
patients,encounter_count,0.3628,0.0,0.6372,998,1000,57.7826,41.346,82.6743,74.8076
patients,condition_count,0.5518,0.0,0.4482,998,1000,37.9108,16.438,38.7541,23.4979
patients,medication_count,0.4081,0.0,0.5919,998,1000,46.8277,72.911,129.2324,146.6903
encounters,days_since_birth,0.5146,0.0,0.4854,57667,63866,17085.4458,17206.6955,8758.4793,311.1955
encounters,encounter_duration_hours,0.9002,0.0,0.0998,57667,63866,5.6455,6.0025,52.1676,1.3858
encounters,days_since_prev_encounter,0.7602,0.0,0.2398,56669,62975,203.8378,196.2617,721.455,26.6138
observations,value_quantity,0.433,0.0,0.567,303696,304304,3098.6983,3387.402,22709.5021,8534.8085
observations,days_since_birth,0.1019,0.0,0.8981,303696,304304,20836.5363,20808.8533,8357.1411,8214.5064
conditions,onset_days_since_birth,0.3143,0.0,0.6857,37835,32196,16940.0731,20883.6737,8627.1558,4775.5552
conditions,abatement_days_since_birth,0.2795,0.0,0.7205,28414,25881,18136.2308,21043.4584,8802.9196,4101.7402
conditions,duration_days,0.2846,0.0,0.7154,28414,25771,335.4991,229.1197,878.52,222.9444
medications,days_since_birth,0.1855,0.0,0.8145,46734,25100,22261.9731,24539.0685,8032.1114,4222.4736
